,index,text,label,mandate,page_no
0,0,PROSPECTUS T. Rowe Price Funds OEIC,0.0,labelled\consorsbank_t_rowe_price_funds,0
1,1,23 December 2022,0.0,labelled\consorsbank_t_rowe_price_funds,0
2,2,Equity Funds,0.0,labelled\consorsbank_t_rowe_price_funds,0
3,3,Asian Opportunities Equity Fund (PRN: 757525) China Evolution Equity Fund (PRN: 964357) Continental European Equity Fund (PRN: 757527) Emerging Markets Discovery Equity Fund (PRN: 836375) Emerging Markets Equity Fund (PRN: 757528) Frontier Markets Equity Fund (PRN: 836376) Future of Finance Equity Fund (PRN: 982805) Global Focused Growth Equity Fund (PRN: 769957),0.0,labelled\consorsbank_t_rowe_price_funds,0
4,4,Global Impact Equity Fund (PRN: 964358) Global Natural Resources Equity Fund (PRN: 769958) Global Select Equity Fund (PRN: 975294) Global Technology Equity Fund (PRN: 769961) Global Value Equity Fund (PRN: 975295) Japanese Equity Fund (PRN: 769962) Responsible Global Growth Equity Fund (PRN: 955937) Responsible UK Equity Fund (PRN: 943123) US All-Cap Opportunities Equity Fund (PRN: 975296),0.0,labelled\consorsbank_t_rowe_price_funds,0
5,5,US Blue Chip Equity Fund (PRN: 836377) US Equity Fund (PRN: 757529) US Large Cap Growth Equity Fund (PRN: 806628) US Large Cap Value Equity Fund (PRN: 769959) US Smaller Companies Equity Fund (PRN: 769960),0.0,labelled\consorsbank_t_rowe_price_funds,0
6,6,Bond Funds,0.0,labelled\consorsbank_t_rowe_price_funds,0
7,7,Dynamic Global Bond Fund (PRN: 757530) Global High Yield Opportunities Bond Fund (PRN: 982806) Global Impact Credit Fund (PRN: 964359),0.0,labelled\consorsbank_t_rowe_price_funds,0
8,8,INVEST WITH CONFIDENCE,0.0,labelled\consorsbank_t_rowe_price_funds,10
9,9,11,0.0,labelled\consorsbank_t_rowe_price_funds,10
10,10,Objective and Investment Policy,0.0,labelled\consorsbank_t_rowe_price_funds,10
11,11,OBJECTIVE To increase the value of its shares through growth in the value of its investments.,0.0,labelled\consorsbank_t_rowe_price_funds,10
12,12,PORTFOLIO SECURITIES The fund is actively managed and invests mainly in a diversified portfolio of shares of emerging market companies.,False,labelled\consorsbank_t_rowe_price_funds,10
13,13,"Specifically, the fund invests at least 70% of total assets in shares and related securities issued by companies that are either incorporated in one of the economically emerging countries of Latin America, Asia, Europe, Africa and the Middle East or conduct most of their business in such countries.",1,labelled\consorsbank_t_rowe_price_funds,10
14,14,"Types of securities may include common stocks, preferred stocks, warrants, American Depository Receipts (ADRs), European Depository Receipts (EDRs) and Global Depository Receipts (GDRs).",1,labelled\consorsbank_t_rowe_price_funds,10
15,15,The fund does not invest more than 30% of its assets in debt and money market securities.,1,labelled\consorsbank_t_rowe_price_funds,10
16,16,DERIVATIVES AND TECHNIQUES The fund may use derivatives for hedging and efficient portfolio management.,False,labelled\consorsbank_t_rowe_price_funds,10
17,17,"At any time and for a length of time that the investment manager considers appropriate, the fund may hold up to (but not including) 50% of its assets in cash or other liquid assets.",1,labelled\consorsbank_t_rowe_price_funds,10
18,18,This might occur in circumstances of extremely adverse market conditions and/or upon receipt of significant subscriptions by the fund.,1,labelled\consorsbank_t_rowe_price_funds,10
19,19,INVESTMENT PROCESS The investment manager's approach is to: Q Employ fundamental analysis to identify companies with sustainable above-market earnings growth rates.,False,labelled\consorsbank_t_rowe_price_funds,10
20,20,"Q Focus on franchise strength, management team quality, free cash flow, and financing/balance sheet structure.",False,labelled\consorsbank_t_rowe_price_funds,10
21,21,Q Verify relative valuation appeal versus both the local market and broad sector opportunity set.,False,labelled\consorsbank_t_rowe_price_funds,10
22,22,Q Apply negative screening for macroeconomic and political factors to temper bottom-up enthusiasm for specific securities.,False,labelled\consorsbank_t_rowe_price_funds,10
23,23,"Q Assess environmental, social and governance (""ESG"") factors to identify those considered most likely to have a material impact on the performance of the holdings or potential holdings in the fund's portfolio.",False,labelled\consorsbank_t_rowe_price_funds,10
24,24,"These ESG factors, which are incorporated into the investment process alongside financials, valuation, macro- economics and other factors, are components of the investment decision.",False,labelled\consorsbank_t_rowe_price_funds,10
25,25,"Consequently, ESG factors are not the sole driver of an investment decision but are instead one of several important inputs considered during investment analysis.",False,labelled\consorsbank_t_rowe_price_funds,10
26,26,BENCHMARK Benchmark  MSCI Emerging Markets Index Net.,False,labelled\consorsbank_t_rowe_price_funds,10
27,27,Benchmark use  Investors may use the benchmark to compare the fund's performance.,False,labelled\consorsbank_t_rowe_price_funds,10
28,28,The benchmark has been selected because it is similar to the investment universe used by the investment manager and therefore acts as an appropriate comparator.,False,labelled\consorsbank_t_rowe_price_funds,10
29,29,"The investment manager is not constrained by any country, sector and/ or individual security weightings relative to the benchmark and has complete freedom to invest in securities that do not form part of the benchmark.",False,labelled\consorsbank_t_rowe_price_funds,10
30,30,"When a share class is hedged to a different currency, a hedged version of the benchmark (where available) will be used by the ACD for the performance comparison.",False,labelled\consorsbank_t_rowe_price_funds,10
31,31,Base currency of the fund  GBP INVESTMENT MANAGER T. Rowe Price International Ltd SUB-INVESTMENT MANAGER T. Rowe Price Singapore Private Ltd Designed for  Investors who typically plan to invest for five years or more.,False,labelled\consorsbank_t_rowe_price_funds,10
32,32,"The fund may appeal to investors who: Q are interested in investment growth Q are looking to diversify their equity investments, in particular existing investments in developed markets Q understand and can accept the risks of the fund, including the risks of investing in emerging markets Main Risks See ""Risk Descriptions"" for more information.",False,labelled\consorsbank_t_rowe_price_funds,10
33,33,Q  Country risk - China Q  Country risk - Russia and Ukraine Q  Country risk - Saudi Arabia Q  Currency Q  Emerging markets Q  Equities Q  Geographic concentration Q  Hedging Q  Investment fund Q  Management Q  Market Q  Operational Q  Small/mid cap Q  Style Risk management method  Commitment.,False,labelled\consorsbank_t_rowe_price_funds,10
34,34,Expected level of leverage  N/A.,False,labelled\consorsbank_t_rowe_price_funds,10
35,35,"Minimum transaction and balance amounts Class ACD Fee Operating and Administrative expenses limit Initial investment/balance Additional investment Redemption C 0.75% Up to 0.17% GBP10,000 GBP500 GBP500 T 0.00% Up to 0.17% GBP7.5 million - - Z 0.00% 0.00% GBP20 million - - This fund has not launched at the publication date of this prospectus.",False,labelled\consorsbank_t_rowe_price_funds,10
36,36,Initial Offer Period: [TBC] 2022 T. Rowe Price Funds OEIC - Emerging Markets Equity Fund 12 INVEST WITH CONFIDENCE Objective and Investment Policy OBJECTIVE To increase the value of its shares through growth in the value of its investments.,False,labelled\consorsbank_t_rowe_price_funds,10
37,37,PORTFOLIO SECURITIES The fund is actively managed and invests mainly in a diversified portfolio of shares of frontier markets companies.,False,labelled\consorsbank_t_rowe_price_funds,11
38,38,"Specifically, the fund invests at least 70% of net assets in shares and related securities of companies that are either incorporated in, or conduct most of their business in, countries that form part of the MSCI Frontier Emerging Markets Index or any other countries that are not represented in the MSCI AC World Index.",1,labelled\consorsbank_t_rowe_price_funds,11
39,39,"Types of securities may include common stocks, preferred stocks, warrants, American Depository Receipts (ADRs), European Depository Receipts (EDRs) and Global Depository Receipts (GDRs).",1,labelled\consorsbank_t_rowe_price_funds,11
40,40,The fund may invest up to 30% of its assets in debt and money market securities.,1,labelled\consorsbank_t_rowe_price_funds,11
41,41,DERIVATIVES AND TECHNIQUES The fund may use derivatives for hedging and efficient portfolio management.,False,labelled\consorsbank_t_rowe_price_funds,11
42,42,"At any time and for a length of time that the investment manager considers appropriate, the fund may hold up to (but not including) 50% of its assets in cash or other liquid assets.",1,labelled\consorsbank_t_rowe_price_funds,11
