,index,text,label,mandate,page_no;;;;;;;;;;;
0,0,PROSPECTUS T. Rowe Price Funds OEIC,0.0,labelled\consorsbank_t_rowe_price_funds,0;;;;;;;;;;;
1,1,23 December 2022,0.0,labelled\consorsbank_t_rowe_price_funds,0;;;;;;;;;;;
2,2,Equity Funds,0.0,labelled\consorsbank_t_rowe_price_funds,0;;;;;;;;;;;
3,3,Asian Opportunities Equity Fund (PRN: 757525) China Evolution Equity Fund (PRN: 964357) Continental European Equity Fund (PRN: 757527) Emerging Markets Discovery Equity Fund (PRN: 836375) Emerging Markets Equity Fund (PRN: 757528) Frontier Markets Equity Fund (PRN: 836376) Future of Finance Equity Fund (PRN: 982805) Global Focused Growth Equity Fund (PRN: 769957),0.0,labelled\consorsbank_t_rowe_price_funds,0;;;;;;;;;;;
4,4,Global Impact Equity Fund (PRN: 964358) Global Natural Resources Equity Fund (PRN: 769958) Global Select Equity Fund (PRN: 975294) Global Technology Equity Fund (PRN: 769961) Global Value Equity Fund (PRN: 975295) Japanese Equity Fund (PRN: 769962) Responsible Global Growth Equity Fund (PRN: 955937) Responsible UK Equity Fund (PRN: 943123) US All-Cap Opportunities Equity Fund (PRN: 975296),0.0,labelled\consorsbank_t_rowe_price_funds,0;;;;;;;;;;;
5,5,US Blue Chip Equity Fund (PRN: 836377) US Equity Fund (PRN: 757529) US Large Cap Growth Equity Fund (PRN: 806628) US Large Cap Value Equity Fund (PRN: 769959) US Smaller Companies Equity Fund (PRN: 769960),0.0,labelled\consorsbank_t_rowe_price_funds,0;;;;;;;;;;;
6,6,Bond Funds,0.0,labelled\consorsbank_t_rowe_price_funds,0;;;;;;;;;;;
7,7,Dynamic Global Bond Fund (PRN: 757530) Global High Yield Opportunities Bond Fund (PRN: 982806) Global Impact Credit Fund (PRN: 964359),0.0,labelled\consorsbank_t_rowe_price_funds,0;;;;;;;;;;;
8,0,INVEST WITH CONFIDENCE,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
9,1,11,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
10,2,Objective and Investment Policy,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
11,3,OBJECTIVE To increase the value of its shares through growth in the value of its investments.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
12,4,PORTFOLIO SECURITIES The fund is actively managed and invests mainly in a diversified portfolio of shares of emerging market companies.,0.0,labelled\consorsbank_t_rowe_price_funds,10;;;;;;;;;;;
